"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"waterStorageTank","waterStorageTank","LRMl Editor - ",2023-03-02 00:16:48.189347000,"NZ_NZBC-G12AS2#3.12","water storage tank",2352,
"drainPipes","drainPipes","LRMl Editor - ",2023-03-02 00:19:05.724902000,"NZ_NZBC-G12AS2#3.12","drain pipes",2354,
"drainPipe","drainPipe","LRMl Editor - ",2023-03-02 00:19:12.294473000,"NZ_NZBC-G12AS2#3.12","drain pipe",2355,
"openVent","openVent","LRMl Editor - ",2023-03-02 21:23:33.984943000,"NZ_NZBC-G12AS2#3.12","open vent",2360,
"flashing","flashing","LRMl Editor - ",2023-03-02 22:20:26.391717000,"NZ_NZBC-G12AS2#3.12","flashing",2362,
"anchorPoint","anchorPoint","LRMl Editor - ",2023-03-02 22:54:59.943315000,"NZ_NZBC-G12AS2#3.12","anchor point",2363,
"damage","damage","LRMl Editor - ",2023-03-02 23:36:45.768053000,"NZ_NZBC-G12AS2#3.12","damage",2365,
"protectiveCoating","protectiveCoating","LRMl Editor - ",2023-03-02 23:36:46.151323000,"NZ_NZBC-G12AS2#3.12","protective coating",2366,
"coldWaterStorage","coldWaterStorage","LRMl Editor - ",2023-03-01 06:10:02.375346000,"NZ_NZBC-G12AS1#3.12","cold water storage",2289,
"coveredOpening","coveredOpening","LRMl Editor - ",2023-03-01 06:21:25.736482000,"NZ_NZBC-G12AS1#3.12","covered opening",2293,
"pressure","pressure","LRMl Editor - ",2023-03-01 07:26:28.056549000,"NZ_NZBC-G12AS1#3.12","pressure",2301,
"workingPressure","workingPressure","LRMl Editor - ",2023-03-01 07:29:05.166691000,"NZ_NZBC-G12AS1#3.12","working pressure",2302,
"waterSupply","waterSupply","LRMl Editor - ",2023-03-01 07:37:10.804438000,"NZ_NZBC-G12AS1#3.12","water supply",2303,
"maximumPressureRating","maximumPressureRating","LRMl Editor - ",2023-03-01 08:48:12.415187000,"NZ_NZBC-G12AS1#3.12","maximum pressure rating",2312,
"reliefValve","reliefValve","LRMl Editor - ",2023-03-01 09:02:17.164927000,"NZ_NZBC-G12AS1#3.12","relief valve",2316,
"durability","durability","LRMl Editor - Stefan",2023-03-01 21:43:43.831274000,"NZ_NZBC-G12AS1#3.12","durability",2333,
"epdmBoot","epdmBoot","LRMl Editor - Stefan",2023-03-01 22:13:44.561607000,"NZ_NZBC-G12AS2#3.12","epdm boot",2335,
"operatingDevice","operatingDevice","LRMl Editor - Stefan",2023-03-01 23:15:46.385108000,"NZ_NZBC-G12AS2#3.12","operating device",2339,
"controller","controller","LRMl Editor - ",2023-03-01 23:40:10.325310000,"NZ_NZBC-G12AS2#3.12","controller",2345,
"level_1_test","level_1_test","LRMl Editor - ",2023-03-01 23:57:01.076290000,"NZ_NZBC-G12AS2#3.12","level_1_test",2350,
"level_2_test","level_2_test","LRMl Editor - ",2023-03-02 00:04:21.378528000,"NZ_NZBC-G12AS2#3.12","level_2_test",2351,
"isolatingValve","isolatingValve","LRMl Editor - ",2023-03-02 00:18:41.515506000,"NZ_NZBC-G12AS2#3.12","isolating valve",2353,
"sealant","sealant","LRMl Editor - ",2023-03-02 21:01:17.175501000,"NZ_NZBC-G12AS2#3.12","sealant",2357,
"coating","coating","LRMl Editor - ",2023-03-02 21:06:31.843087000,"NZ_NZBC-G12AS2#3.12","coating",2358,
