"KEY","CODE","DESCRIPTION","TABLE_NAME","TEXT","TITLE",
"dayCareCouches","Pr_40_50_51_21","","Pr Products","day care couches","Day care couches",
"dentalChairs","Pr_40_50_51_22","","Pr Products","dental chairs","Dental chairs",
"dialysisChairs","Pr_40_50_51_23","","Pr Products","dialysis chairs","Dialysis chairs",
"echocardiographyCouches","Pr_40_50_51_25","","Pr Products","echocardiography couches","Echocardiography couches",
"earNoseAndThroat","Pr_40_50_51_26","","Pr Products","ear, nose and throat","Ear, nose and throat (ENT) and ophthalmic chairs",
"examinationAndTreatmentChairs","Pr_40_50_51_27","","Pr Products","examination and treatment chairs","Examination and treatment chairs",
"examinationAndTreatmentCouches","Pr_40_50_51_28","","Pr Products","examination and treatment couches","Examination and treatment couches",
"gynaecologyChairs","Pr_40_50_51_34","","Pr Products","gynaecology chairs","Gynaecology chairs",
"gynaecologyCouches","Pr_40_50_51_35","","Pr Products","gynaecology couches","Gynaecology couches",
"medicalFootstools","Pr_40_50_51_50","","Pr Products","medical footstools","Medical footstools",
"minorOperationsCouches","Pr_40_50_51_51","","Pr Products","minor operations couches","Minor operations couches",
"oncologyChairs","Pr_40_50_51_58","","Pr Products","oncology chairs","Oncology chairs",
"outpatientsCouches","Pr_40_50_51_59","","Pr Products","outpatients couches","Outpatients couches",
"phlebotomyChairs","Pr_40_50_51_61","","Pr Products","phlebotomy chairs","Phlebotomy chairs",
"phlebotomyCouches","Pr_40_50_51_62","","Pr Products","phlebotomy couches","Phlebotomy couches",
"plasterChairs","Pr_40_50_51_63","","Pr Products","plaster chairs","Plaster chairs",
"podiatryChairs","Pr_40_50_51_65","","Pr Products","podiatry chairs","Podiatry chairs",
"recliningTreatmentArmchairs","Pr_40_50_51_71","","Pr Products","reclining treatment armchairs","Reclining treatment armchairs",
"sanitarySeats","Pr_40_50_51_75","","Pr Products","sanitary seats","Sanitary seats",
"stepStools","Pr_40_50_51_84","","Pr Products","step stools","Step stools",
"ultrasoundCouches","Pr_40_50_51_92","","Pr Products","ultrasound couches","Ultrasound couches",
"medicalDesksTablesAndWorktops","Pr_40_50_52","","Pr Products","medical desks, tables and worktops","Medical desks, tables and worktops",
"dissectionTables","Pr_40_50_52_22","","Pr Products","dissection tables","Dissection tables",
"mayoTables","Pr_40_50_52_50","","Pr Products","mayo tables","Mayo tables",
"operatingTheatreTables","Pr_40_50_52_57","","Pr Products","operating theatre tables","Operating theatre tables",
"overbedTables","Pr_40_50_52_58","","Pr Products","overbed tables","Overbed tables",
"overchairTables","Pr_40_50_52_59","","Pr Products","overchair tables","Overchair tables",
"postMortemTables","Pr_40_50_52_65","","Pr Products","post-mortem tables","Post-mortem tables",
"tiltTables","Pr_40_50_52_88","","Pr Products","tilt tables","Tilt tables",
"medicalTrolleys","Pr_40_50_53","","Pr Products","medical trolleys","Medical trolleys",
"armchairPatientTrolleys","Pr_40_50_53_04","","Pr Products","armchair patient trolleys","Armchair patient trolleys",
"bariatricPatientTrolleys","Pr_40_50_53_06","","Pr Products","bariatric patient trolleys","Bariatric patient trolleys",
"dressingTrolleys","Pr_40_50_53_24","","Pr Products","dressing trolleys","Dressing trolleys",
"emergencyTrolleys","Pr_40_50_53_27","","Pr Products","emergency trolleys","Emergency trolleys",
"generalPurposeMedicalTrolleys","Pr_40_50_53_33","","Pr Products","general-purpose medical trolleys","General-purpose medical trolleys",
"instrumentsTrolleys","Pr_40_50_53_41","","Pr Products","instruments trolleys","Instruments trolleys",
"lockableHospitalTrolleys","Pr_40_50_53_48","","Pr Products","lockable hospital trolleys","Lockable hospital trolleys",
"medicalServiceCarts","Pr_40_50_53_51","","Pr Products","medical service carts","Medical service carts",
"patientNotesTrolleys","Pr_40_50_53_60","","Pr Products","patient notes trolleys","Patient notes trolleys",
"patientTrolleys","Pr_40_50_53_61","","Pr Products","patient trolleys","Patient trolleys",
